record_type,route_option,route_countries,venue_#,venue_Venue,venue_City,venue_Country,venue_Why It Fits The Dialtones,venue_Venue Booking Agent Name,venue_Booking Agent Email / Booking Route,venue_Link of Venue,venue_Social Media Links for Venue,venue_Typical Venue Pay,venue_Size Tier,cobill_country,cobill_country_rank,cobill_band,cobill_type,cobill_begin,cobill_genres,cobill_why_fit,cobill_band_manager,cobill_manager_contact_info,cobill_cities_venues_past_18_months,cobill_band_socials,cobill_band_website,cobill_soundcloud,cobill_spotify,cobill_apple_music,cobill_recent_articles_past_18_months,cobill_musicbrainz
venue,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,107,Beursschouwburg,Brussels,Belgium,arts-forward venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.beursschouwburg.be,instagram.com: https://www.instagram.com/beursschouwburg,"€600-€2,500 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,240,Vera,Groningen,Netherlands,legendary DIY grassroots venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.vera-groningen.nl,Instagram search: https://www.instagram.com/explore/search/keyword/?q=Vera+Groningen / Facebook search: https://www.facebook.com/search/top?q=Vera+Groningen,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,164,Le Pop-Up du Label,Paris,France,indie/electronic small room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://popup.paris,facebook.com: https://www.facebook.com/LeLabelParis,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,109,Atelier 210,Brussels,Belgium,alternative Brussels room,Public buyer not found in quick pass,info@atelier210.be,Venue link: https://www.atelier210.be,facebook.com: https://www.facebook.com/tr / facebook.com: https://www.facebook.com/atelier210 / instagram.com: https://www.instagram.com/atelier210,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,242,Garage Noord,Amsterdam,Netherlands,experimental Amsterdam venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.garagenoord.com,Instagram search: https://www.instagram.com/explore/search/keyword/?q=Garage+Noord+Amsterdam / Facebook search: https://www.facebook.com/search/top?q=Garage+Noord+Amsterdam,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
co-bill artist,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,,,,,,,,,,,,France,1,Fontaine Wallace,Group,2014,"pop, folk rock, indie folk, pop folk, indie rock","Compatible indie folk, folk-rock, indie rock, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Fontaine%20Wallace%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Fontaine%20Wallace%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Fontaine%20Wallace | https://www.bandsintown.com/search?query=Fontaine%20Wallace | https://www.setlist.fm/search?query=Fontaine%20Wallace,https://www.instagram.com/explore/search/keyword/?q=Fontaine%20Wallace | https://www.facebook.com/search/top?q=Fontaine%20Wallace,https://www.google.com/search?q=Fontaine%20Wallace%20band%20official%20website,https://soundcloud.com/search?q=Fontaine%20Wallace,https://open.spotify.com/search/Fontaine%20Wallace,https://music.apple.com/us/search?term=Fontaine%20Wallace,https://www.google.com/search?tbm=nws&q=%22Fontaine%20Wallace%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/17a1df14-b50d-4c0c-ada0-0f3a85df2629
co-bill artist,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,,,,,,,,,,,,Belgium,2,Acts of Man,Group,2021-08-01,"americana, alternative country, singer-songwriter, indie folk","Compatible indie folk, Americana, songwriter, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Acts%20of%20Man%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Acts%20of%20Man%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Acts%20of%20Man | https://www.bandsintown.com/search?query=Acts%20of%20Man | https://www.setlist.fm/search?query=Acts%20of%20Man,https://www.instagram.com/explore/search/keyword/?q=Acts%20of%20Man | https://www.facebook.com/search/top?q=Acts%20of%20Man,https://www.google.com/search?q=Acts%20of%20Man%20band%20official%20website,https://soundcloud.com/search?q=Acts%20of%20Man,https://open.spotify.com/search/Acts%20of%20Man,https://music.apple.com/us/search?term=Acts%20of%20Man,https://www.google.com/search?tbm=nws&q=%22Acts%20of%20Man%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/05185fba-521b-467e-95e8-f28a0b854eb9
co-bill artist,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,,,,,,,,,,,,Netherlands,3,AlascA,Group,2008,indie folk,"Compatible indie folk, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22AlascA%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22AlascA%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=AlascA | https://www.bandsintown.com/search?query=AlascA | https://www.setlist.fm/search?query=AlascA,https://www.instagram.com/explore/search/keyword/?q=AlascA | https://www.facebook.com/search/top?q=AlascA,https://www.google.com/search?q=AlascA%20band%20official%20website,https://soundcloud.com/search?q=AlascA,https://open.spotify.com/search/AlascA,https://music.apple.com/us/search?term=AlascA,https://www.google.com/search?tbm=nws&q=%22AlascA%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/684d8c69-4270-4d13-b985-352c38de7802
co-bill artist,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,,,,,,,,,,,,France,87,Elias Dris,Person,1994-05,"singer-songwriter, folk, americana","Compatible Americana, songwriter, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Elias%20Dris%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Elias%20Dris%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Elias%20Dris | https://www.bandsintown.com/search?query=Elias%20Dris | https://www.setlist.fm/search?query=Elias%20Dris,https://www.instagram.com/explore/search/keyword/?q=Elias%20Dris | https://www.facebook.com/search/top?q=Elias%20Dris,https://www.google.com/search?q=Elias%20Dris%20band%20official%20website,https://soundcloud.com/search?q=Elias%20Dris,https://open.spotify.com/search/Elias%20Dris,https://music.apple.com/us/search?term=Elias%20Dris,https://www.google.com/search?tbm=nws&q=%22Elias%20Dris%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/d3af6014-7b73-4edb-9c76-6429b16f903f
co-bill artist,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,,,,,,,,,,,,Belgium,1,Lucky Came to Town,Group,2015-01-01,"americana, indie folk, alt.country","Compatible indie folk, Americana, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Lucky%20Came%20to%20Town%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Lucky%20Came%20to%20Town%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Lucky%20Came%20to%20Town | https://www.bandsintown.com/search?query=Lucky%20Came%20to%20Town | https://www.setlist.fm/search?query=Lucky%20Came%20to%20Town,https://www.instagram.com/explore/search/keyword/?q=Lucky%20Came%20to%20Town | https://www.facebook.com/search/top?q=Lucky%20Came%20to%20Town,https://www.google.com/search?q=Lucky%20Came%20to%20Town%20band%20official%20website,https://soundcloud.com/search?q=Lucky%20Came%20to%20Town,https://open.spotify.com/search/Lucky%20Came%20to%20Town,https://music.apple.com/us/search?term=Lucky%20Came%20to%20Town,https://www.google.com/search?tbm=nws&q=%22Lucky%20Came%20to%20Town%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/4e0b94b3-fd4a-46be-80f8-cf0a2e462e9c
co-bill artist,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,,,,,,,,,,,,Netherlands,4,Honey Camp,Group,2023,"folk, indie, alternative, indie folk","Compatible indie folk, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Honey%20Camp%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Honey%20Camp%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Honey%20Camp | https://www.bandsintown.com/search?query=Honey%20Camp | https://www.setlist.fm/search?query=Honey%20Camp,https://www.instagram.com/explore/search/keyword/?q=Honey%20Camp | https://www.facebook.com/search/top?q=Honey%20Camp,https://www.google.com/search?q=Honey%20Camp%20band%20official%20website,https://soundcloud.com/search?q=Honey%20Camp,https://open.spotify.com/search/Honey%20Camp,https://music.apple.com/us/search?term=Honey%20Camp,https://www.google.com/search?tbm=nws&q=%22Honey%20Camp%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/20b8274d-5985-43ce-b605-8592ec0279a3
co-bill artist,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,,,,,,,,,,,,France,3,Nouvelle Vague,Group,2003,"new wave, acoustic, lounge, bossa nova, indie pop, indie folk","Compatible indie folk, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Nouvelle%20Vague%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Nouvelle%20Vague%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Nouvelle%20Vague | https://www.bandsintown.com/search?query=Nouvelle%20Vague | https://www.setlist.fm/search?query=Nouvelle%20Vague,https://www.instagram.com/explore/search/keyword/?q=Nouvelle%20Vague | https://www.facebook.com/search/top?q=Nouvelle%20Vague,https://www.google.com/search?q=Nouvelle%20Vague%20band%20official%20website,https://soundcloud.com/search?q=Nouvelle%20Vague,https://open.spotify.com/search/Nouvelle%20Vague,https://music.apple.com/us/search?term=Nouvelle%20Vague,https://www.google.com/search?tbm=nws&q=%22Nouvelle%20Vague%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/b017a7ae-e5ee-4675-bb13-c83346134971
co-bill artist,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,,,,,,,,,,,,Belgium,48,Tamino,Person,1996-10-24,"pop, singer-songwriter, indie rock, alternative, soft rock, alternative pop, alternative/indie rock, adult alternative pop/rock","Compatible indie rock, songwriter, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Tamino%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Tamino%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Tamino | https://www.bandsintown.com/search?query=Tamino | https://www.setlist.fm/search?query=Tamino,https://www.instagram.com/explore/search/keyword/?q=Tamino | https://www.facebook.com/search/top?q=Tamino,https://www.google.com/search?q=Tamino%20band%20official%20website,https://soundcloud.com/search?q=Tamino,https://open.spotify.com/search/Tamino,https://music.apple.com/us/search?term=Tamino,https://www.google.com/search?tbm=nws&q=%22Tamino%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/60e0ba6c-b67e-44c0-b777-be65d42ef909
co-bill artist,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,,,,,,,,,,,,Netherlands,6,I Am Oak,Group,2008,"folk, indie folk, ambient, independent, acoustic","Compatible indie folk, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22I%20Am%20Oak%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22I%20Am%20Oak%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=I%20Am%20Oak | https://www.bandsintown.com/search?query=I%20Am%20Oak | https://www.setlist.fm/search?query=I%20Am%20Oak,https://www.instagram.com/explore/search/keyword/?q=I%20Am%20Oak | https://www.facebook.com/search/top?q=I%20Am%20Oak,https://www.google.com/search?q=I%20Am%20Oak%20band%20official%20website,https://soundcloud.com/search?q=I%20Am%20Oak,https://open.spotify.com/search/I%20Am%20Oak,https://music.apple.com/us/search?term=I%20Am%20Oak,https://www.google.com/search?tbm=nws&q=%22I%20Am%20Oak%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/0592dc82-3378-4f01-8e46-de907d9f4a6c
co-bill artist,Tour Option 4: France / Belgium / Netherlands,France / Belgium / Netherlands,,,,,,,,,,,,France,8,La Maison Tellier,Group,2004,folk rock,"Compatible folk-rock, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22La%20Maison%20Tellier%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22La%20Maison%20Tellier%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=La%20Maison%20Tellier | https://www.bandsintown.com/search?query=La%20Maison%20Tellier | https://www.setlist.fm/search?query=La%20Maison%20Tellier,https://www.instagram.com/explore/search/keyword/?q=La%20Maison%20Tellier | https://www.facebook.com/search/top?q=La%20Maison%20Tellier,https://www.google.com/search?q=La%20Maison%20Tellier%20band%20official%20website,https://soundcloud.com/search?q=La%20Maison%20Tellier,https://open.spotify.com/search/La%20Maison%20Tellier,https://music.apple.com/us/search?term=La%20Maison%20Tellier,https://www.google.com/search?tbm=nws&q=%22La%20Maison%20Tellier%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/2e7cf659-e3a9-41ac-927b-a5732355d033
