record_type,route_option,route_countries,venue_#,venue_Venue,venue_City,venue_Country,venue_Why It Fits The Dialtones,venue_Venue Booking Agent Name,venue_Booking Agent Email / Booking Route,venue_Link of Venue,venue_Social Media Links for Venue,venue_Typical Venue Pay,venue_Size Tier,cobill_country,cobill_country_rank,cobill_band,cobill_type,cobill_begin,cobill_genres,cobill_why_fit,cobill_band_manager,cobill_manager_contact_info,cobill_cities_venues_past_18_months,cobill_band_socials,cobill_band_website,cobill_soundcloud,cobill_spotify,cobill_apple_music,cobill_recent_articles_past_18_months,cobill_musicbrainz
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,94,Cyprus Avenue,Cork,Ireland,Cork touring room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://cyprusavenue.ie,facebook.com: https://www.facebook.com/cyprusavenuecork / instagram.com: https://www.instagram.com/cyprusavenuecork / twitter.com: https://twitter.com/CyprusAveCork,"€500-€2,000 / £500-£1,800 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,240,Vera,Groningen,Netherlands,legendary DIY grassroots venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.vera-groningen.nl,Instagram search: https://www.instagram.com/explore/search/keyword/?q=Vera+Groningen / Facebook search: https://www.facebook.com/search/top?q=Vera+Groningen,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,4,The Bedford,London,United Kingdom,writerly singer-songwriter and band showcases,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://thebedford.com,facebook.com: https://www.facebook.com/thebedfordpub / twitter.com: https://twitter.com/TheBedfordPub / instagram.com: https://www.instagram.com/thebedfordpub / twitter.com: https://twitter.com/thebedfordpub,€150-€600 / £150-£500 guarantee or door split,small,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,91,The Grand Social,Dublin,Ireland,multi-room Dublin venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://thegrandsocial.ie,Instagram search: https://www.instagram.com/explore/search/keyword/?q=The+Grand+Social+Dublin / Facebook search: https://www.facebook.com/search/top?q=The+Grand+Social+Dublin,"€500-€2,000 / £500-£1,800 guarantee vs split",mid,,,,,,,,,,,,,,,,,
venue,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,242,Garage Noord,Amsterdam,Netherlands,experimental Amsterdam venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link: https://www.garagenoord.com,Instagram search: https://www.instagram.com/explore/search/keyword/?q=Garage+Noord+Amsterdam / Facebook search: https://www.facebook.com/search/top?q=Garage+Noord+Amsterdam,€150-€700 guarantee or door split,small,,,,,,,,,,,,,,,,,
co-bill artist,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,,,,,,,,,,,,United Kingdom,37,The Staves,Group,2010,"folk, british, singer-songwriter, folk rock, indie, female vocalists, indie folk, acoustic folk harmony","Compatible indie folk, folk-rock, songwriter, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22The%20Staves%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22The%20Staves%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=The%20Staves | https://www.bandsintown.com/search?query=The%20Staves | https://www.setlist.fm/search?query=The%20Staves,https://www.instagram.com/explore/search/keyword/?q=The%20Staves | https://www.facebook.com/search/top?q=The%20Staves,https://www.google.com/search?q=The%20Staves%20band%20official%20website,https://soundcloud.com/search?q=The%20Staves,https://open.spotify.com/search/The%20Staves,https://music.apple.com/us/search?term=The%20Staves,https://www.google.com/search?tbm=nws&q=%22The%20Staves%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/0d659b57-7224-491d-a891-702d222c8826
co-bill artist,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,,,,,,,,,,,,Ireland,3,Villagers,Group,2008,"folk, indie folk, singer-songwriter, irlande, ireland, irlandais, irish, indie rock","Compatible indie folk, indie rock, songwriter, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Villagers%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Villagers%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Villagers | https://www.bandsintown.com/search?query=Villagers | https://www.setlist.fm/search?query=Villagers,https://www.instagram.com/explore/search/keyword/?q=Villagers | https://www.facebook.com/search/top?q=Villagers,https://www.google.com/search?q=Villagers%20band%20official%20website,https://soundcloud.com/search?q=Villagers,https://open.spotify.com/search/Villagers,https://music.apple.com/us/search?term=Villagers,https://www.google.com/search?tbm=nws&q=%22Villagers%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/22f6ed4d-c1ce-4f7b-8e69-a5761a9de9aa
co-bill artist,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,,,,,,,,,,,,Netherlands,3,AlascA,Group,2008,indie folk,"Compatible indie folk, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22AlascA%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22AlascA%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=AlascA | https://www.bandsintown.com/search?query=AlascA | https://www.setlist.fm/search?query=AlascA,https://www.instagram.com/explore/search/keyword/?q=AlascA | https://www.facebook.com/search/top?q=AlascA,https://www.google.com/search?q=AlascA%20band%20official%20website,https://soundcloud.com/search?q=AlascA,https://open.spotify.com/search/AlascA,https://music.apple.com/us/search?term=AlascA,https://www.google.com/search?tbm=nws&q=%22AlascA%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/684d8c69-4270-4d13-b985-352c38de7802
co-bill artist,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,,,,,,,,,,,,United Kingdom,2,Mumford & Sons,Group,2007-12,"alternative rock, folk rock, folk pop, stomp and holler, remember, indie folk, alt-country, americana","Compatible indie folk, folk-rock, Americana, alt-rock, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Mumford%20%26%20Sons%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Mumford%20%26%20Sons%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Mumford%20%26%20Sons | https://www.bandsintown.com/search?query=Mumford%20%26%20Sons | https://www.setlist.fm/search?query=Mumford%20%26%20Sons,https://www.instagram.com/explore/search/keyword/?q=Mumford%20%26%20Sons | https://www.facebook.com/search/top?q=Mumford%20%26%20Sons,https://www.google.com/search?q=Mumford%20%26%20Sons%20band%20official%20website,https://soundcloud.com/search?q=Mumford%20%26%20Sons,https://open.spotify.com/search/Mumford%20%26%20Sons,https://music.apple.com/us/search?term=Mumford%20%26%20Sons,https://www.google.com/search?tbm=nws&q=%22Mumford%20%26%20Sons%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/c44e9c22-ef82-4a77-9bcd-af6c958446d6
co-bill artist,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,,,,,,,,,,,,Ireland,50,Hozier,Person,1990-03-17,"rock, pop, blues, singer-songwriter, indie rock, folk rock, alternative, soul","Compatible folk-rock, indie rock, songwriter, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Hozier%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Hozier%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Hozier | https://www.bandsintown.com/search?query=Hozier | https://www.setlist.fm/search?query=Hozier,https://www.instagram.com/explore/search/keyword/?q=Hozier | https://www.facebook.com/search/top?q=Hozier,https://www.google.com/search?q=Hozier%20band%20official%20website,https://soundcloud.com/search?q=Hozier,https://open.spotify.com/search/Hozier,https://music.apple.com/us/search?term=Hozier,https://www.google.com/search?tbm=nws&q=%22Hozier%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/b4691384-50c3-4afd-9988-51d3ec5db65d
co-bill artist,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,,,,,,,,,,,,Netherlands,4,Honey Camp,Group,2023,"folk, indie, alternative, indie folk","Compatible indie folk, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Honey%20Camp%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Honey%20Camp%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Honey%20Camp | https://www.bandsintown.com/search?query=Honey%20Camp | https://www.setlist.fm/search?query=Honey%20Camp,https://www.instagram.com/explore/search/keyword/?q=Honey%20Camp | https://www.facebook.com/search/top?q=Honey%20Camp,https://www.google.com/search?q=Honey%20Camp%20band%20official%20website,https://soundcloud.com/search?q=Honey%20Camp,https://open.spotify.com/search/Honey%20Camp,https://music.apple.com/us/search?term=Honey%20Camp,https://www.google.com/search?tbm=nws&q=%22Honey%20Camp%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/20b8274d-5985-43ce-b605-8592ec0279a3
co-bill artist,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,,,,,,,,,,,,United Kingdom,40,The Bergamot,Group,2010-08-15,"indie rock, indie folk, singer-songwriter","Compatible indie folk, indie rock, songwriter, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22The%20Bergamot%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22The%20Bergamot%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=The%20Bergamot | https://www.bandsintown.com/search?query=The%20Bergamot | https://www.setlist.fm/search?query=The%20Bergamot,https://www.instagram.com/explore/search/keyword/?q=The%20Bergamot | https://www.facebook.com/search/top?q=The%20Bergamot,https://www.google.com/search?q=The%20Bergamot%20band%20official%20website,https://soundcloud.com/search?q=The%20Bergamot,https://open.spotify.com/search/The%20Bergamot,https://music.apple.com/us/search?term=The%20Bergamot,https://www.google.com/search?tbm=nws&q=%22The%20Bergamot%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/f04bde82-aab1-419b-91d9-29eb9f962a32
co-bill artist,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,,,,,,,,,,,,Ireland,1,Kodaline,Group,2011,"alternative rock, folk rock, indie rock","Compatible folk-rock, alt-rock, indie rock, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Kodaline%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Kodaline%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Kodaline | https://www.bandsintown.com/search?query=Kodaline | https://www.setlist.fm/search?query=Kodaline,https://www.instagram.com/explore/search/keyword/?q=Kodaline | https://www.facebook.com/search/top?q=Kodaline,https://www.google.com/search?q=Kodaline%20band%20official%20website,https://soundcloud.com/search?q=Kodaline,https://open.spotify.com/search/Kodaline,https://music.apple.com/us/search?term=Kodaline,https://www.google.com/search?tbm=nws&q=%22Kodaline%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/74aab3b7-93a5-473c-a729-f975234c58b6
co-bill artist,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,,,,,,,,,,,,Netherlands,6,I Am Oak,Group,2008,"folk, indie folk, ambient, independent, acoustic","Compatible indie folk, folk audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22I%20Am%20Oak%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22I%20Am%20Oak%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=I%20Am%20Oak | https://www.bandsintown.com/search?query=I%20Am%20Oak | https://www.setlist.fm/search?query=I%20Am%20Oak,https://www.instagram.com/explore/search/keyword/?q=I%20Am%20Oak | https://www.facebook.com/search/top?q=I%20Am%20Oak,https://www.google.com/search?q=I%20Am%20Oak%20band%20official%20website,https://soundcloud.com/search?q=I%20Am%20Oak,https://open.spotify.com/search/I%20Am%20Oak,https://music.apple.com/us/search?term=I%20Am%20Oak,https://www.google.com/search?tbm=nws&q=%22I%20Am%20Oak%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/0592dc82-3378-4f01-8e46-de907d9f4a6c
co-bill artist,Tour Option 1: UK / Ireland / Netherlands,United Kingdom / Ireland / Netherlands,,,,,,,,,,,,United Kingdom,89,Nilüfer Yanya,Person,1995-05-11,"singer-songwriter, indie rock, soul, alternative rock, indie pop, indie folk, neo-psychedelia","Compatible indie folk, alt-rock, indie rock, songwriter, folk, alternative audience; plausible support/co-bill target for The Dialtones.",Public manager not verified in first pass,https://www.google.com/search?q=%22Nil%C3%BCfer%20Yanya%22%20band%20manager%20booking%20agent%20contact,https://www.google.com/search?q=%22Nil%C3%BCfer%20Yanya%22%20tour%20dates%20venues%202025%202026 | https://www.songkick.com/search?query=Nil%C3%BCfer%20Yanya | https://www.bandsintown.com/search?query=Nil%C3%BCfer%20Yanya | https://www.setlist.fm/search?query=Nil%C3%BCfer%20Yanya,https://www.instagram.com/explore/search/keyword/?q=Nil%C3%BCfer%20Yanya | https://www.facebook.com/search/top?q=Nil%C3%BCfer%20Yanya,https://www.google.com/search?q=Nil%C3%BCfer%20Yanya%20band%20official%20website,https://soundcloud.com/search?q=Nil%C3%BCfer%20Yanya,https://open.spotify.com/search/Nil%C3%BCfer%20Yanya,https://music.apple.com/us/search?term=Nil%C3%BCfer%20Yanya,https://www.google.com/search?tbm=nws&q=%22Nil%C3%BCfer%20Yanya%22%20band%20after%3A2024-11-28,https://musicbrainz.org/artist/4173ee0d-e003-496a-98eb-a2eaa90cb3f7
