#,Venue,City,Country,Why It Fits The Dialtones,Venue Booking Agent Name,Booking Agent Email / Booking Route,Link of Venue,Social Media Links for Venue,Typical Venue Pay,Size Tier
19,Union Chapel,London,United Kingdom,prestige seated London play if audience exists,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com,"€1,500-€5,000+ if proven draw/support package",large
20,The Grace,London,United Kingdom,grassroots London room,Public buyer not found in quick pass,"grace_ONLINE@eland.co.kr, Hong_Gildong@eland.co.kr",Venue link,facebook.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
21,Hot Box Live,Chelmsford,United Kingdom,independent Essex tour stop,Public buyer not found in quick pass,"hotbox@hotboxlive.co.uk, 13e49d785d8d4f828038b6136f3b48ba@sentry.io",Venue link,facebook.com,€150-€600 / £150-£500 guarantee or door split,small
22,Chinnerys,Southend-on-Sea,United Kingdom,long-running Southend indie room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
23,The Fiery Bird,Woking,United Kingdom,grassroots community venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / twitter.com,€150-€600 / £150-£500 guarantee or door split,small
24,The Prince Albert,Brighton,United Kingdom,Brighton indie/alternative pub venue,Will Moore (publicly cited contact; verify current role),Use official site or princealbertbrighton.co.uk contact,Venue link,facebook.com / instagram.com / facebook.com,€150-€600 / £150-£500 guarantee or door split,small
25,The Hope & Ruin,Brighton,United Kingdom,Brighton grassroots indie room,Public buyer not found in quick pass,hello@hope.pub,Venue link,facebook.com / facebook.com / twitter.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
26,Green Door Store,Brighton,United Kingdom,indie/DIY Brighton venue,Public buyer not found in quick pass,"//info@thegreendoorstore.co.uk, info@thegreendoorstore.co.uk",Venue link,facebook.com / twitter.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
27,Concorde 2,Brighton,United Kingdom,larger Brighton alternative room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / x.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
28,The Joiners,Southampton,United Kingdom,classic UK grassroots touring stop,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
29,The Wedgewood Rooms,Portsmouth,United Kingdom,South Coast indie/alternative venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,instagram.com / twitter.com / facebook.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
30,The Louisiana,Bristol,United Kingdom,classic Bristol discovery room,Public buyer not found in quick pass,thelouisiana@gmail.com,Venue link,facebook.com / twitter.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
31,The Fleece,Bristol,United Kingdom,Bristol indie/rock touring room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
32,Exchange Bristol,Bristol,United Kingdom,independent venue and community space,Public buyer not found in quick pass,info@exchangebristol.com,Venue link,facebook.com / instagram.com / twitter.com,€150-€600 / £150-£500 guarantee or door split,small
33,The Crofters Rights,Bristol,United Kingdom,Bristol alternative room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
34,Clwb Ifor Bach,Cardiff,United Kingdom,Welsh indie institution,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
35,Le Pub,Newport,United Kingdom,community-oriented independent venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
36,The Globe Cardiff,Cardiff,United Kingdom,Cardiff touring room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
37,Brudenell Social Club,Leeds,United Kingdom,major independent UK indie venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / facebook.com / twitter.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
38,The Wardrobe,Leeds,United Kingdom,Leeds music room for roots/indie,Public buyer not found in quick pass,bar@thewardrobe.co.uk,Venue link,instagram.com / instagram.com / twitter.com / facebook.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
39,Hyde Park Book Club,Leeds,United Kingdom,intimate arts/music space,Public buyer not found in quick pass,contact@hydeparkbookclub.co.uk,Venue link,facebook.com / facebook.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
40,The Trades Club,Hebden Bridge,United Kingdom,artist-friendly independent venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / facebook.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
41,The Crescent,York,United Kingdom,independent York venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / facebook.com / twitter.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
42,The Adelphi,Hull,United Kingdom,historic grassroots venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
43,The Bodega,Nottingham,United Kingdom,breakthrough indie room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,twitter.com / facebook.com / instagram.com / twitter.com,€150-€600 / £150-£500 guarantee or door split,small
44,Rescue Rooms,Nottingham,United Kingdom,Nottingham alternative touring room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,twitter.com / instagram.com / instagram.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
45,The Cookie,Leicester,United Kingdom,Leicester small-cap indie room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
46,The International,Leicester,United Kingdom,independent Leicester room,Public buyer not found in quick pass,"neil@iaccentre.com, darrennockles@gmail.com, paul@the-international.co.uk",Venue link,facebook.com / facebook.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
47,Hare & Hounds,Birmingham,United Kingdom,Birmingham indie/alternative venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,twitter.com / facebook.com / instagram.com / facebook.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
48,The Sunflower Lounge,Birmingham,United Kingdom,grassroots Birmingham room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
49,Muthers Studio,Birmingham,United Kingdom,independent live room/rehearsal hub,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
50,Gorilla,Manchester,United Kingdom,Manchester touring indie room,Public buyer not found in quick pass,hello@thisisgorilla.com,Venue link,facebook.com / facebook.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
51,YES,Manchester,United Kingdom,multi-room Manchester indie venue,Public buyer not found in quick pass,"info@yes-manchester.com, INFO@YES-MANCHESTER.COM",Venue link,facebook.com / facebook.com / instagram.com / twitter.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
52,Night & Day Cafe,Manchester,United Kingdom,historic Manchester discovery venue,Public buyer not found in quick pass,contact@nightnday.org,Venue link,facebook.com / twitter.com / instagram.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
53,The Deaf Institute,Manchester,United Kingdom,ornate indie touring room,Public buyer not found in quick pass,hello@throwbackevents.co.uk,Venue link,facebook.com / facebook.com / twitter.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
54,Band on the Wall,Manchester,United Kingdom,strong roots/global/indie programming,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
55,The Peer Hat,Manchester,United Kingdom,DIY/experimental-leaning room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
56,The Washington,Sheffield,United Kingdom,grassroots Sheffield pub venue,Public buyer not found in quick pass,"info@thewashington.pub, bookings@thewashington.pub",Venue link,facebook.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
57,Sidney & Matilda,Sheffield,United Kingdom,arts-led independent venue,Public buyer not found in quick pass,info@sidneyandmatilda.com,Venue link,facebook.com / facebook.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
58,Yellow Arch Studios,Sheffield,United Kingdom,studio/live space for indie shows,Public buyer not found in quick pass,mail@yellowarch.com,Venue link,facebook.com / facebook.com / twitter.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
59,The Leadmill,Sheffield,United Kingdom,historic Sheffield venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / x.com / instagram.com / facebook.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
60,Little Buildings,Newcastle upon Tyne,United Kingdom,tiny regional grassroots room,Public buyer not found in quick pass,info@littlebuildingslive.com,Venue link,twitter.com / instagram.com / twitter.com,€150-€600 / £150-£500 guarantee or door split,small
61,The Cluny,Newcastle upon Tyne,United Kingdom,established Newcastle venue,Public buyer not found in quick pass,hello@thecluny.com,Venue link,facebook.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
62,The Grove,Newcastle upon Tyne,United Kingdom,newer independent venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
63,Pop Recs,Sunderland,United Kingdom,community/DIY music space,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,instagram.com / facebook.com / instagram.com / facebook.com,€150-€600 / £150-£500 guarantee or door split,small
64,Ku Stockton,Stockton-on-Tees,United Kingdom,small independent alternative venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / facebook.com / twitter.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
65,Norwich Arts Centre,Norwich,United Kingdom,arts-forward touring venue,Public buyer not found in quick pass,8f009899699b4dd281f6d1466e6a2b92@o126219.ingest.sentry.io,Venue link,facebook.com / instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
66,The Holloway,Norwich,United Kingdom,grassroots Norwich room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
67,Cambridge Junction,Cambridge,United Kingdom,arts center with contemporary music,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,instagram.com / facebook.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
68,The Portland Arms,Cambridge,United Kingdom,grassroots Cambridge venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
69,The Horn,St Albans,United Kingdom,independent touring pub venue,Public buyer not found in quick pass,info@thehorn.co.uk,Venue link,facebook.com / facebook.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
70,The Craufurd Arms,Milton Keynes,United Kingdom,rock/alternative touring room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / facebook.com / twitter.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
71,The Boileroom,Guildford,United Kingdom,grassroots venue with strong community role,Public buyer not found in quick pass,user@domain.com,Venue link,facebook.com / facebook.com / instagram.com / x.com,€150-€600 / £150-£500 guarantee or door split,small
72,Esquires,Bedford,United Kingdom,classic independent venue,Public buyer not found in quick pass,"rick@bedfordesquires.co.uk, Gareth@thepadpresents.com",Venue link,facebook.com / facebook.com / facebook.com / facebook.com,€150-€600 / £150-£500 guarantee or door split,small
73,The Horn at the Half Moon,Bishop's Stortford,United Kingdom,intimate regional tour stop,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
74,The Bunkhouse,Swansea,United Kingdom,Welsh grassroots touring room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
75,King Tut's Wah Wah Hut,Glasgow,United Kingdom,legendary Scottish indie room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / x.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
76,The Hug and Pint,Glasgow,United Kingdom,compact eclectic indie venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / facebook.com / twitter.com,€150-€600 / £150-£500 guarantee or door split,small
77,The Glad Cafe,Glasgow,United Kingdom,intimate community venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / instagram.com / facebook.com,€150-€600 / £150-£500 guarantee or door split,small
78,Stereo,Glasgow,United Kingdom,alternative/DIY Glasgow venue,Public buyer not found in quick pass,hello@readymag.com,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
79,Mono,Glasgow,United Kingdom,independent vegan cafe/music space,Public buyer not found in quick pass,user@domain.com,Venue link,facebook.com / facebook.com / twitter.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
80,Saint Luke's,Glasgow,United Kingdom,atmospheric church venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
81,SWG3,Glasgow,United Kingdom,arts campus with adventurous booking,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / twitter.com,"€1,500-€5,000+ if proven draw/support package",large
82,Barrowland Ballroom,Glasgow,United Kingdom,prestige larger Scottish date,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,twitter.com / facebook.com / instagram.com / facebook.com,"€1,500-€5,000+ if proven draw/support package",large
83,Sneaky Pete's,Edinburgh,United Kingdom,small Edinburgh indie institution,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / facebook.com,€150-€600 / £150-£500 guarantee or door split,small
84,The Caves,Edinburgh,United Kingdom,atmospheric venue for artsy shows,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
85,Summerhall,Edinburgh,United Kingdom,arts-forward Edinburgh complex,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
86,The Lemon Tree,Aberdeen,United Kingdom,Scottish regional arts venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
87,Voodoo Belfast,Belfast,United Kingdom,grassroots Belfast venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€600 / £150-£500 guarantee or door split,small
88,The Black Box,Belfast,United Kingdom,arts-led Belfast venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com / instagram.com,€150-€600 / £150-£500 guarantee or door split,small
89,Whelan's,Dublin,Ireland,legendary Irish indie venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / twitter.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
90,The Workman's Club,Dublin,Ireland,Dublin indie/alternative room,Public buyer not found in quick pass,privacy@pressup.ie,Venue link,facebook.com / instagram.com / instagram.com / facebook.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
91,The Grand Social,Dublin,Ireland,multi-room Dublin venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
92,The Sugar Club,Dublin,Ireland,seated/cabaret-style venue,Public buyer not found in quick pass,info@thesugarclub.com,Venue link,instagram.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
93,Roisin Dubh,Galway,Ireland,respected Galway live room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / twitter.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
94,Cyprus Avenue,Cork,Ireland,Cork touring room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / twitter.com,"€500-€2,000 / £500-£1,800 guarantee vs split",mid
95,WUK,Vienna,Austria,arts center with alternative music,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,"€600-€2,500 guarantee vs split",mid
96,Flex,Vienna,Austria,Vienna alternative club/venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,instagram.com,"€600-€2,500 guarantee vs split",mid
97,Chelsea,Vienna,Austria,indie and alternative room,Public buyer not found in quick pass,chelsea@sil.at,Venue link,facebook.com,€150-€700 guarantee or door split,small
98,Rhiz,Vienna,Austria,experimental and electronic-leaning venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com,€150-€700 guarantee or door split,small
99,B72,Vienna,Austria,alternative small-cap Vienna room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€700 guarantee or door split,small
100,Arena Wien,Vienna,Austria,major alternative complex,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com,"€2,000-€6,000+ if proven draw/support package",large
101,Posthof,Linz,Austria,Liveurope arts venue with broad booking,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com,"€2,000-€6,000+ if proven draw/support package",large
102,Porgy & Bess,Vienna,Austria,jazz/experimental venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / twitter.com,"€600-€2,500 guarantee vs split",mid
103,Rockhouse Salzburg,Salzburg,Austria,regional rock/indie venue,Public buyer not found in quick pass,service@rockhouse.at,Venue link,facebook.com / instagram.com,"€600-€2,500 guarantee vs split",mid
104,PPC,Graz,Austria,Graz alternative club,Public buyer not found in quick pass,ppc@ppc.st,Venue link,facebook.com / instagram.com,"€600-€2,500 guarantee vs split",mid
105,Ancienne Belgique,Brussels,Belgium,Liveurope venue and major Brussels room,Public buyer not found in quick pass,ab@loves.you,Venue link,instagram.com / facebook.com,"€2,000-€6,000+ if proven draw/support package",large
106,Botanique,Brussels,Belgium,multi-room indie/alternative venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,"€600-€2,500 guarantee vs split",mid
107,Beursschouwburg,Brussels,Belgium,arts-forward venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,instagram.com,"€600-€2,500 guarantee vs split",mid
108,Le Botanique Rotonde,Brussels,Belgium,smaller Botanique room for developing acts,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€700 guarantee or door split,small
109,Atelier 210,Brussels,Belgium,alternative Brussels room,Public buyer not found in quick pass,info@atelier210.be,Venue link,facebook.com / facebook.com / instagram.com,€150-€700 guarantee or door split,small
110,VK Vaartkapoen,Brussels,Belgium,community/global/alternative venue,Public buyer not found in quick pass,devaartkapoen@vgc.be,Venue link,facebook.com / instagram.com,€150-€700 guarantee or door split,small
111,Trix,Antwerp,Belgium,Antwerp indie/alternative rooms,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / facebook.com / twitter.com / instagram.com,"€600-€2,500 guarantee vs split",mid
112,De Roma,Antwerp,Belgium,heritage concert venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com,"€2,000-€6,000+ if proven draw/support package",large
113,Muziekclub 4AD,Diksmuide,Belgium,independent Belgian venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€150-€700 guarantee or door split,small
114,Cactus Club,Bruges,Belgium,Belgian venue/festival org,Public buyer not found in quick pass,"info@cactusmusic.be, tickets@cactusmusic.be",Venue link,facebook.com / instagram.com / facebook.com,"€600-€2,500 guarantee vs split",mid
115,De Kreun,Kortrijk,Belgium,Wilde Westen music venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com,"€600-€2,500 guarantee vs split",mid
116,Het Depot,Leuven,Belgium,Leuven touring venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / twitter.com,"€600-€2,500 guarantee vs split",mid
117,Vooruit,Ghent,Belgium,arts center with contemporary music,Public buyer not found in quick pass,info@viernulvier.gent,Venue link,facebook.com / instagram.com,"€2,000-€6,000+ if proven draw/support package",large
118,Charlatan,Ghent,Belgium,grassroots club venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / x.com,€150-€700 guarantee or door split,small
119,A38 Ship,Budapest,Hungary,distinctive Liveurope ship venue,Public buyer not found in quick pass,info@a38.hu,Venue link,facebook.com / facebook.com / instagram.com,"€400-€1,800 guarantee vs split",mid
120,Durer Kert,Budapest,Hungary,alternative Budapest venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com,"€400-€1,800 guarantee vs split",mid
121,Szimpla Kert,Budapest,Hungary,alternative ruin-bar music space,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com,€100-€500 guarantee or door split,small
122,Akvarium Klub,Budapest,Hungary,central Budapest club venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / facebook.com,"€1,200-€4,000+ if proven draw/support package",large
123,Turbina,Budapest,Hungary,newer alternative venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,"€400-€1,800 guarantee vs split",mid
124,Palac Akropolis,Prague,Czech Republic,Liveurope Prague venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / facebook.com / twitter.com,"€400-€1,800 guarantee vs split",mid
125,MeetFactory,Prague,Czech Republic,multidisciplinary arts/music space,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / facebook.com / facebook.com / instagram.com,"€400-€1,800 guarantee vs split",mid
126,Futurum Music Bar,Prague,Czech Republic,Prague club venue,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com,"€400-€1,800 guarantee vs split",mid
127,Lucerna Music Bar,Prague,Czech Republic,established Prague room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / twitter.com,"€400-€1,800 guarantee vs split",mid
128,Cross Club,Prague,Czech Republic,alternative club/arts space,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,Instagram search / Facebook search,€100-€500 guarantee or door split,small
129,Rock Cafe Prague,Prague,Czech Republic,central rock/alternative room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,instagram.com / facebook.com,"€400-€1,800 guarantee vs split",mid
130,Fléda,Brno,Czech Republic,Brno alternative touring room,Public buyer not found in quick pass,Use official booking/contact route on venue site,Venue link,facebook.com / instagram.com / facebook.com,"€400-€1,800 guarantee vs split",mid
131,Kabinet Múz,Brno,Czech Republic,independent Brno venue,Public buyer not found in quick pass,info@kabinetmuz.cz,Venue link,facebook.com / facebook.com / instagram.com,€100-€500 guarantee or door split,small
